Workcenter,Machine_Number,Bid,Job_Name,Time,PT,PS,RDue,RP,CR,Pool,Setup,
2,0,7.293640399,job5122,425.9,0.408375066,1.043123631,6.125286196,-0.653532598,0.655796506,-0.285408402,0,5
2,1,9.588490434,job5122,425.9,2.649868536,0.05469096,3.501641211,1.325785204,2.728066001,-0.671561478,0,7
1,0,-4.243981439,job5151,426.1,-2.717165956,-0.176535185,3.067295438,-1.700511013,-2.467252359,-0.249812363,0,1.999999999
1,1,-0.345246392,job5151,426.1,-1.094179529,-0.13810368,0.309630959,-0.877817447,1.705130766,-0.249907461,0,3
3,0,-0.751352519,job5064,426.4,-1.69546567,0.091251825,1.117863155,2.367592395,0.281886397,-0.197166788,-2.717313833,3
3,1,-1.66794008,job5064,426.4,0.01578462,-0.479022633,-0.412508666,1.214186046,1.176389711,-0.143668822,-3.039100336,2
2,0,4.559581968,job5132,426.8,0.272250044,1.043123631,6.254399416,-0.676873048,0.656902805,-0.228326721,-2.761894158,4
2,1,8.798398179,job5132,426.8,1.766579024,0.05469096,3.542886876,1.373134675,2.732668122,-0.671561478,0,7
3,0,-0.941071695,job5014,426.8,-1.69546567,0.091251825,1.063334749,2.367592395,0.278140152,-0.328611313,-2.717313833,5
3,1,-1.667915292,job5014,426.8,0.01578462,-0.479022633,-0.396849761,1.214186046,1.160755595,-0.143668822,-3.039100336,2
1,0,-5.652940173,job5161,427,-3.804032339,-0.176535185,3.170163155,-2.000601192,-2.467216068,-0.374718544,0,2.999999999
1,1,-7.133244178,job5161,427,-1.531851341,-0.13810368,0.320218775,-1.032726408,1.705105685,-0.249907461,-6.205979749,3
2,0,8.828723695,job5005,427.3,0.476437577,2.607809078,5.889628717,-0.513489899,0.653746624,-0.285408402,0,5
2,1,5.160318092,job5005,427.3,3.091513292,0.136727401,3.323928536,1.041688374,2.719538637,-0.671561478,-4.481516671,7
4,0,2.800842999,job5023,427.3,-0.875018173,0.422437079,-0.391612332,2.496170903,0.350873178,-0.157542355,0.9555347,2
4,1,-1.619626188,job5023,427.3,0.363772885,0.700011893,1.920867994,0.78268496,-1.826301318,-0.262497216,-3.298165386,4
3,0,-1.137591965,job5034,427.4,-2.906512576,0.091251825,1.129117617,3.314629352,0.279846962,-0.328611313,-2.717313833,5
3,1,1.92028069,job5034,427.4,0.027059348,-0.479022633,-0.423660666,1.699860465,1.167878587,-0.071834411,0,1
1,0,-5.943469748,job5171,427.8,-3.804032339,-0.176535185,3.129340159,-2.000601192,-2.467110284,-0.624530907,0,4.999999998
1,1,-0.842024323,job5171,427.8,-1.531851341,-0.13810368,0.322229503,-1.032726408,1.705032577,-0.166604974,0,2
2,0,4.43274574,job5142,428.1,0.136125022,1.043123631,6.413278429,-0.770234848,0.657756066,-0.285408402,-2.761894158,5
2,1,3.730065186,job5142,428.1,0.883289512,0.05469096,3.646412675,1.562532561,2.736217626,-0.671561478,-4.481516671,7
4,0,1.989838601,job5053,428.6,-1.31252726,0.422437079,-0.410425826,3.095251919,0.352645045,-0.157542355,0,2
4,1,-1.161869552,job5053,428.6,0.545659328,0.700011893,2.018116394,0.970529351,-1.835523915,-0.262497216,-3.298165386,4
1,0,-3.632112566,job5181,428.8,-1.630299574,-0.176535185,3.066845831,-1.800541073,-2.467051658,-0.624530907,0,4.999999998
1,1,-6.246806946,job5181,428.8,-0.656507717,-0.13810368,0.311455855,-0.929453767,1.704992061,-0.333209948,-6.205979749,4
2,0,4.338356675,job5112,429,0.136125022,1.043123631,6.265515244,-0.770234848,0.654048506,-0.228326721,-2.761894158,4
2,1,3.737550367,job5112,429,0.883289512,0.05469096,3.573383681,1.562532561,2.720794447,-0.575624124,-4.481516671,6
4,0,2.50806109,job5043,429,-0.875018173,0.422437079,-0.384476915,2.196630394,0.35049636,-0.157542355,0.9555347,2
4,1,1.561565411,job5043,429,0.363772885,0.700011893,1.895855057,0.688762765,-1.824339973,-0.262497216,0,4
3,0,-0.685163844,job5024,429.3,-1.937675051,0.091251825,1.075945344,2.722731254,0.277063405,-0.197166788,-2.717313833,3
